score;content;sentimen
5;Aplikasi ini sangat membantu saya untuk belajar saham;Positif
5;The best cuma kadang error;Positif
5;Cocok bangett buat yang mau belajar saham. Keren parah;Positif
5;Bagus;Positif
5;Aplikasi ini sangat bagus;Positif
5;Bagus 👍;Positif
5;Ajaib memang mantap,bagi yang pemula ayo daftar segera di ajaib fiturnya sangat lengkap dan mudah di pahami;Positif
5;Bagusss;Positif
5;Alhamdulillah, awalnya saya kecewa knpa tiba-tiba saham saya hilang setelah saya konfirmasi ternyata lagi perbaikan, dan Alhamdulillah responnya cepat dri pihak ajaib dn sekarang saham saya sudah kembali. Terimakasih Ajaib.;Positif
1;Moho. Ya ajaib untuk jujur masa saya udah beli saham tapi tiba tiba hilang begitu saja kan aneh padahal saya tidak melakukan penjualan saham dan saham yg saya beli itu sedang mengalami penurunan dan tiba tiba hilang begitu saja tanpa jelas sebab.;Negatif
1;Apk parah nih, ko saham sayah tiba tiba ilang total investasi saya ilang separoh gimna pertanggung jawaban nya nih;Negatif
5;Aplikasinya bagus;Positif
5;Bagus banget;Positif
2;ajaib yg terhormat, jangan buat resah para investor yg mengunduh sekuritas ini, sy tdk mengerti kenapa pihak yg ada dalam sekuritas ini tdk bekerja profesional, masa dalam 2 hari emiten saham (enak) sdh di beli hilang begitu sj walaupun di hari itu juga dapat pergantian dengan nilai yg sama, dan hari ini dalam list portofolio sy emitan CAKK hilang, (salam Account Premium);Negatif
2;Saya sudah daftar 15 hari kerja,sudah email dan sudah kirim ke ig ajaib dgn keluhan pendaftaran yg sangat lama. Daftar aja susah apalagi penarikan,lebih baik cari Securitas lainnya. Dan Sekarang terbukti sudah kinerja dari Ajaib, maintenance,saya tidak peduli dgn Baying power,untung ngak Investasi semua di ajaib.;Negatif
5;Hai developer ajaib,kemaren saya mengalami kendala,saya tidak berniat menjual BBRI dan terlihat order jual,lalu saya beli lagi BBRI,dan yg ingin saya rubah portofolio Towr ke BMTR,tapi jadi amburadul.ada masalah apa sebenarnya. Kalau seperti ini kejadiannya,nanti investor akan mencari Securitas lain. Perlu diingat biaya broker tidak akan menjadi masalah asalkan kinerja sekuritas sepadan,mohon di indahkan sebelum saya ganti sekuritas.terima kasih. Kesimpulan... akan saya hapus ini apk,tq...;Positif
5;Sangat membantu.. Pendaftarannya juga tidak ribet.;Positif
5;ok boss;Positif
5;Aplikasi yang sangat berguna Yang ga berguna yang baca wkwk;Positif
5;Aplikasinya bagus bangett;Positif
5;Aplikasinya mantep, bisa buat belajar investasi juga👌;Positif
5;Yuhuuuuuuuuuu.... Keren bettt...:D;Positif
5;Aplikasi untuk belajar menanam saham yang bagus untuk pemula;Positif
5;Okee banget;Positif
1;Kenapa portofolio saya hilang;Negatif
1;Knpa sahamku hilang pdahal aku belum jual sahamku, misalkan juga klo aku jual pasti ada saldonya 2 jutalebih, nah ini kok tinggl buying powernya 20 ribuan;Negatif
1;saham gua 2 lot ilang tai;Negatif
1;Ajaib knp ya aq beli toba 600 lot kok jd 200 lot? Avg q 1580 kok jd 1600. Tolong dibenerin;Negatif
5;Min ajib kenapaa. Baik banget..;Positif
1;ada kontak yang bisa di hubungi gak? saya kemaren sudah jual semua saham tpi kok blm di tf ke rek saya. sudah lama juga ini. mana kontak yang bisa saya hubungi.;Negatif
1;Sudah hubungin cs nya jawaban nya gk memuaskan;Negatif
1;Aku heran sama apk ini. Aku daftar pake bank CIMB terus. Pas aku mau melakukan penarikan. Ga bisa. Katanya eror terus.;Negatif
5;Nice;Positif
5;wahhh setelah menggunakan ajaib, uangku terinvestasi dengan baikkk, makasi ajaibbb;Positif
5;Mantap gan;Positif
5;Sangat ajaib saya langsung cerdas berinvestasi;Positif
5;Bagus 👍;Positif
5;Sip mas;Positif
5;GG gaming dahh;Positif
5;APLIKASINYA SANGAT BERMANFAAT SEKALIIII;Positif
5;Bagussssssss;Positif
5;Bagus;Positif
5;Bagus;Positif
5;Good;Positif
5;Good;Positif
5;Bagus;Positif
5;keren banget;Positif
5;sangatt bagus banget;Positif
5;Aplikasi nya bagus pol! Semoga kedepannya bisa ningkatin kenyamanan usernya;Positif
5;Bagus bgtt dengan aplikasi ini membuat semuanya jadi lebih mudah;Positif
5;Aplikasinya bagus dan bermanfaat;Positif
1;Aplikasinya skrg lg errrooorrrr;Negatif
5;bagus aplikasinya;Positif
5;Mudah digunakan;Positif
1;Kenapa apk sering delay, ngebug, status sending tidak bisa dicancel ehh tau-tau matched ahirnya kebeli dengan avg tinggi. Intinya kurang sat set sat set, harusnya ada perbaikan bukan cuma mohon maaf atas ketidaknyamanannya.terima kasih;Negatif
5;Keren banget membantu dalam berbagai hal keuangan nich, buruan download ya guys;Positif
5;mantap👍🏼;Positif
1;Aplikasi;Negatif
5;bagus;Positif
5;SSIIIUUUUU!!!!;Positif
5;Bagus;Positif
5;Keren;Positif
5;Pokoknya mantap;Positif
5;Wah keren bgt aplikasinya;Positif
5;Sgt baikkk;Positif
5;Good👍;Positif
5;Bagus aplikasinya, sangat membantu;Positif
5;Apk ini sangat membantu saya dalam mengenal saham;Positif
5;Cocok nih buat belajar;Positif
5;Aplikasinya bagus bgt;Positif
5;Bagus bgt;Positif
5;Baguss;Positif
5;Aplikasi ini bagus sekali;Positif
5;nice 👍🏼;Positif
5;Bagusss.. Mudah banget dipakainga;Positif
5;aplikasi yang cukup membantu;Positif
5;Keren poll;Positif
5;Top;Positif
5;aplikasinya bagus dan memudahkan orang untuk berinvestasi;Positif
5;aplikasi ini bagus bgt buat kalian yg mau invest saham soalnya udh terpercaya &aman👍🏼;Positif
5;Mantap;Positif
5;Sangat bagus;Positif
5;Nais;Positif
1;Min permudah buat ganti no rekening nya dong. Edit : oke sekarang udah gampang ganti rekening, cuman dibatasi 2× doang dan butuh waktu 2 hari kerja. Malesin sih, segalanya serba lambat, minimal 2 hari kerja tiap proses. Kalau lg butuh bgt uang, gak bisa diburu-buru, jual saham 3 hari, tarik RDN 3 hari. Kan waduk;Negatif
5;Mantappp 👍;Positif
5;Aplikasinya bagus;Positif
5;Mantap;Positif
5;Aplikasinya sangat bagus rekomendasi untuk pemula yang mau investasi saham maupun reksadana;Positif
5;Mantap 👍;Positif
5;Bagus;Positif
5;Pelayanan adminnya bagus 👍🏻;Positif
5;Waahhh keren sih....;Positif
5;"Saya kira tidak ada saham ""TAXI"" ternyata ada, Murah banget Rp50/per lembar.";Positif
5;Baguss;Positif
5;Sangat bagus dan Bermanfaat;Positif
1;Transaksi sudah matched tapi tidak masuk ke portofolio;Negatif
5;aplikasi bagus;Positif
1;Apus aja lah Min. Data saya. Kesel saya. Soal nya saya nggak ngerti. Pokoknya ksel lah. Atas nama JOHANDI. Tlong di apus aja data saya;Negatif
5;Aplikasi yang sangat bagus untuk para investor pemula.;Positif
5;bagus appnya;Positif
1;Owalah kirain punya saya saja yg delay ..ternyata yg lain juga...selalu diluar jam kerja bursa.....untung baru sedikit nyobainya;Negatif
5;Menguntungkan Kalau pembelian lebih murah dari pada yang dijual;Positif
5;ajaib bagus;Positif
5;Wow ajaibbbb ajib ajib👍👍👍;Positif
1;Verifikasi hampir 1 bulan belum selesai, tulisannya 4-5 hari kerja.;Negatif
5;Bagus;Positif
1;BINTANG 1. PELAYANAN BURUK. SAYA BELI SAHAM MALAH RUGI. TIDAK SESUAI LOT SAMA HARGA YG DIBELI. BAYANGKAN AJA BARU BELI SAHAM MALAH JADI MINUS 70%. PARAH. CHAT SAMA EMAIL BILANG SURUH TUNGGU SURUH TUNGGU. TUNGGU BRP LAMA??? BURU ARB. DARI JAM 9 SMPE JAM 2 SIANG INI GA ADA KEJELASAN. BAD!!;Negatif
5;mantap beut;Positif
1;Apk error ga bisa tp malah jadi rugi woiiii;Negatif
1;Terlalu sering ngelag pas jam bursa ampuuun dahh......tolong dong diperbaiki!!!;Negatif
2;Parah sih ini, eror mulu... bikin rugi aja... mending mau tanggung jawab kerugian orang. Kan kesalahan IT nya ini...;Negatif
1;sekuritas gajelas eror mulu jdi rugi make ni apk mau tp malah jadi cl;Negatif
1;GABISA DI CANCEL ORDER, GABISA AMEND. Akhirnya rugiiii.;Negatif
1;2 hari errorr trsss gmn;Negatif
1;APLIKASIINYA JELLEKKKKK SKALIII!!!! DOWNLOADD MIRAE ASET AJA KALAU MAU INVESTASI!!;Negatif
5;Ajaib cara cerdas berinvestasi;Positif
5;Goood;Positif
1;Gak ada pengaturan ganti email, gagal regis.;Negatif
5;trs kasi bintang 5 ajaa trs ss in kekitaa;Positif
5;Menarik;Positif
1;Duit raib bintang 1;Negatif
1;Aplikasi merugikan;Negatif
1;Aplikasi sampah. Sumpah sampah orang nanya k cs jawaban bolak balik k email sama. Kacao beli 29 lot dari harga bermasalah beli 1595 perlembar ngapa jadi 200 ribu selembar nah abis duit gw. Di porto folio hilang lot 4 ini fakta. Beli harga 1595 di order fixs di fortopolio perlembar 200 ribu kan bloon duit miliaran juga habis. Sumpah mending tutup dah klo udh beres cs ga respon email bolak balik jawaban;Negatif
5;Aplikasinya kerennn, terimakasih kak;Positif
5;Lanjutkan!;Positif
5;Oke buat pemula seperti saya;Positif
1;Beli 14 lot saham yg masuk cuman 5 lot saham dan di harga yg tidak aku order, rugi ratusan ribu, di chat cs respon nya tidak ada, di fb katanya belum ada informasi dari pihak terkait padahal sudah saya lampirkan bukti.;Negatif
1;Aplikasi parah error trus dr tgl 8 sampai 11 februari ini terutama pagi, mau jual saham ga bisa sending doang yg ada malah rugi, cari sekuritas lain ja;Negatif
5;Mantap wow;Positif
5;keren banget tauk ini aplikasi kalean harus download ya .;Positif
5;Bagus dan berwawasan sekali;Positif
5;Aplikasi yang ngebantu banget pemula untuk mulai berinvestasi reksadana dengan aman dan terpercaya;Positif
5;Aplikasinya baguss;Positif
1;Aplikasi busuk... Kebanyakan hang dan loading lambat Pagi ini eror lagi... (11/02/2022) Semoga ajaib sekuritas cepat bangkrut. Kasian sama pengguna yang terjebak dengan pelayanannya yang buruk.;Negatif
1;saya coba buka malah gak mau masuk, padahal sandi benar, error apk;Negatif
1;Terlalu sering eror;Negatif
5;mantapp;Positif
5;baguss bangettt;Positif
5;WOW AJAIB SEKALEE;Positif
1;Parah ada bug, udh di cancel cancel gabisa malah tiba tiba matched ( saya ada bukti video ), CS slow respond ,mohon responnya perbaiki;Negatif
1;ajaib tak seting auto buy di pas pasar tebuka sampai sekarang blm match tp tak cancel ada notif cancel berhasil cuma saldo blm masuk kembali dan di kolom order masih proses, uangnya nyangkut gatau kemana di total ivest uang itu juga ga masuk;Negatif
5;ajaib keren bgt 👍🏻;Positif
1;YOK ERROR TERUS YOK, APLIKASI KAGAK BISA DI BUAT SELL AND BUY ORDER CEPET !!!;Negatif
5;Mantap ni aplikasi.. Aplikasinya simple, modal kecil, banyak fitur2 yg sangat membantu untuk saya yg newbie. Cs gercep... Sangat membantu...👍🏻👍🏻👍🏻;Positif
1;Susah saldo sdh masuk di RDN tapi di saldo ajaib nggak masuk2 tanya di di admin nggak ada yg jawab, ngga ada kejelasan mending pakai app lain saja;Negatif
5;Good, keren abis;Positif
5;Aplikasinya keren banget dan mudah digunakan👍;Positif
5;good app;Positif
5;Ok;Positif
5;aplikasi yang sangat bagus;Positif
5;Good👍👍👍👍👍;Positif
5;Cocok untuk yg baru mau belajar investasi;Positif
1;Kok eror tiba2 ya uang hanya tinggal buyyer aja;Negatif
1;Sistem maintenance, saham di porto gak muncul, gak bisa set auto sell, selain itu sistem auto buy sell nya juga manual dan kalau udah ke hit meskipun belum tereksekusi langsung hilang, jadi mesti bikin lagi untuk besoknya dan mesti di ingat ingat manual mau beli dimana aja karena benar benar hilang. Kalau sudah dapat barang mesti manual lagi bikin auto sellnya tidak bisa langsung set target sell diawal bikin program auto buy;Negatif
1;Aplikasi berbahaya;Negatif
1;Pagi ini saya buka akun Ajaib. Saham saya di portofolio hilang semua. Saya juga beli saham Bank Amar, setelah saya cek tidak ada di KSEI. Mohon pertanggungjawabannya pihak Ajaib. Jika ada maintenance mohon dikabarkan sebelumnya.;Negatif
1;Saldo saya nyangkut 50k karena saya tarik Dengn waktu bersamaan pas saya beli reksadana juga Sudah saya tunggu 1 buluan uang tidak ada keterangan nya, semoga di balikin ya;Negatif
1;Sudah menunggu lama tapi akun tidak di verifikasi, mending saya ke sebelah aja, cepat mudah ga ribet, not rekomended broo;Negatif
5;Good;Positif
5;Fitur mudah di pahami bagi pemula, cman kekurangannya lama untuk verifikasi, saya 2 minggu lebih baru bisa invest di ajaib ., knp ya .,;Positif
1;Bonus saham gratis undang teman tidak bisa dijual percuma ngundang teman pake modal tapi zonk 👎👎👎👎;Negatif
1;Saya sudah top up,tetapi saldo nya tidak kunjung bertambah. Katanya lebih dari 30 menit langsung hubungi costumer servis kami,malah ga ada respon nya Tolong ya etikat baik nya ditunggu;Negatif
5;Sesuai dengan namanya, ajib bener nih aplikasi;Positif
5;Sangat user friendly;Positif
5;wow;Positif
5;Mantap;Positif
1;Saya sudah pakai aplikasi ini kurang lebih 8 bulan, awalnya aman, tapi 3-4 bulan terahir ini tiba2 jumlah Portofolio berkurang, padahal profit, tapi jumlah nya tdk bertambah. Aturan dari OJK saldo RDN bisa ditarik T+2, tiba2 dihari T nya hilang gak bisa ditarik. Bener2 aplikasi ajaib. SUDAH HUBUNGI CS dari malam hari disuruh tunggu pagi hari sbelum bursa buka, dan Hasilnya tidak ada. Dichat lagi CS nya dan hasilnya tdk ada respon.. Kira2 akan kemana uang investor? Ya lenyap laah;Negatif
5;Mantap;Positif
5;Menurut ku bagus aja sih;Positif
5;Bagus;Positif
1;KTP rusak dikit gak di ACC.. coba daftar pake SIM lah;Negatif
5;Keren;Positif
5;aplikasi ini sangat membantu untuk investasi;Positif
1;transaksinya lama banget.... sumpah... nyesel infestasi d aplikasi ini....;Negatif
5;it's good app.;Positif
5;nice;Positif
5;Mantap bet dahh;Positif
5;Mudah di pahami bagi pemula;Positif
5;Mantap banget nih aplikasi;Positif
5;Keren selama ini berinvestasi di ajaib Tetapi kalkulator return slalu gagal masuk ya;Positif
5;Keren;Positif
5;Mantulll;Positif
5;Transaksi di ajaib mudah, prosesnya juga cepet;Positif
1;Saya gak bisa masuk tolong dong gimana;Negatif
5;mantaaapp;Positif
5;the real ajaib... worth it;Positif
5;ajib benerrrrrrrrrrrr;Positif
5;mantap anjay;Positif
5;Tidak mengecewakan;Positif
5;Aplikasi bagus dan mudah digunakan 👍👍👍;Positif
5;aplikasi mudah diakses👍🏻;Positif
5;Nabung untung inimah;Positif
1;Udah berbulan bulan registrasi gabisa bisa smpe cape DAHLAH;Negatif
5;bagus, membantu pemula berinvestasi dengan panduan dan fitur fitur yang mudah dipahami;Positif
5;Aplikasinya bagus banget🤩🤩 Aku bakal rekomendasiin ke temanku;Positif
2;Tolong data saya d hapus ya;Negatif
5;Kerennn;Positif
5;recommended;Positif
5;mantap;Positif
5;Apk ini ngebantu banget siii buat akuu, ajaib banget deh sesuai namanyaa😆;Positif
5;Sangat memuaskan 👐;Positif
5;Wow sungguh ajaib;Positif
1;Sudah install dari tanggal 3 dan belum diapprove, foto ktp sudah disetor, dan sulit menemukan contact;Negatif
5;bagus bgt..;Positif
5;Bagus simple;Positif
5;Keren bgtttt aplikasinyaaaa;Positif
5;Monggolah gaess dicoba🥳;Positif
5;Keren bangett apknyaa, mantapss..;Positif
5;Sangat bagus;Positif
5;Keren banget ni apk;Positif
5;Nuda buat bekajar;Positif
1;Udh 2 minggu g msk² buying power nya gimna si katanya ngundang 3 teman dapat buying power+3 saham serelah H+1 kerja sampe 2 minggu g msk² padahal udh memenuhi s&k even ajaib makin kesini makin g jelas;Negatif
5;Bagus bgt;Positif
5;Sangat bermanfaat;Positif
5;mantap bgt;Positif
5;Baguss;Positif
5;aplikasinya menarik semoga bisa ditingkatkan terus yaa;Positif
5;Bagus,baikkk;Positif
5;Gilss keren bgt si apk nya...;Positif
5;sangat membantu, good job buat developer nya;Positif
5;Broker investasi yang cukup mudah digunakan;Positif
5;Alhamdulillah berjalan lancar, sejauh ini baik👍;Positif
5;Wihh keren bgtt;Positif
5;Good;Positif
5;Aplikasi ini sangat rekomendasi umbo aji;Positif
5;Top;Positif
5;Awalnya saya coba coba. La kok enak. Trus besoknya saya coba lagi. La kok makin enak. Aku terusin lagi invest di ajaib sampai skrg.;Positif
5;niceeeee;Positif
1;Udah 7 hari verifikasi saya blum selesai .. Gmna ini beri tahu saya;Negatif
1;Di awasi ijk ga;Negatif
5;Aplikasi nya mantappp rekomedasi mas umbooo:v;Positif
5;Mantap ajaib memudahkan saya menginvestasikan;Positif
5;Aplikasi bagussss;Positif
5;Aplikasinya bagus banget tauu, recommended banget pokoknya;Positif
5;jangan ragu buat investasi di aplikasi ajaib!;Positif
5;Bagus;Positif
5;Aplikasi bagus, mudah digunakan;Positif
5;Aplikasi menarik utk cuan;Positif
5;Keren... tp belum pernah coba tarik dana semoga fine2 aja;Positif
1;Kyc rumit, 6 Halaman, Loading Lama ahirnya gagal lagi, padahal jaringan 4G, Tolong di permudahkan lagi sistem KYC kayak Bank Neo. Habis waktu gua buat KYC doank.;Negatif
5;Bagus;Positif
5;Keren banget aplikasinya, cuuzz download yang belum;Positif
5;gokil;Positif
5;Mantab sekali;Positif
5;APIKK POLLLLL;Positif
1;Halo running trade di ajaib delay hampir 5-10 menit. Harga tidak real time faktor delay.;Negatif
5;Good;Positif
5;Daftar saham, no rekening bank selalu salah;Positif
5;Good;Positif
5;Keren banget;Positif
2;Aplikasi yang tidak proper untuk trading harian, banyak bug dn lag, apalagi klo open market;Negatif
1;Ya Allah.... Tolonglah perbaiki layanannya... Sering LAG .... Bukan sering lagi tapi hampir tiap saat, saat jam² sibuk ....;Negatif
1;kenapa tidak bisa login ke E-IPO, mohon segera ditindaklanjuti;Negatif
5;Membantu generasi yg mau belajar saham;Positif
5;rekomended;Positif
5;Ajaib sekali memang semoga bisa membantu rakyat kecil. Mung wong sepele om;Positif
5;Baguss poll dah gangerti lagi;Positif
5;Mantap semoga bermanfaat;Positif
5;Aplikasi ini mantap banget. Fiturnya juga mudah dipahami. Investasi disini ga nyesel deh;Positif
5;👍;Positif
5;Wow keren sekali,Mantap jiwaaa👍;Positif
5;Ajaib sangat mudah bagi pemula yang ingin belajar investasi;Positif
5;I like it!!;Positif
5;Sangat membantu;Positif
1;Yaaaa dan ternyata saldo RDN tidak bisa ditarik, ke rekening,,,, invald invalid invalid,,,,padahal nomor rek akurat sasuai nama.........;Negatif
5;Tolong proses IPO di ajaib dipermudah, saya e-ipo pakai SID error terus dibilang SIDnya tidak terdaftar, sudah hubungi admin ajaib lewat instagram juga katanya bakal diperbaiki beberapa hari, namun ternyata masih error;Positif
5;Terima kasih mama karena telah mengizinkan aku mendownload game ajaib ini, aku berjanji akan rajin menabung serta belajar mama.;Positif
1;Proses pendaftarannya ribet banget, lebih ribet daripada waktu ngurus e-ktp dulu. Segala pake nunggu 4-5 hari kerja lah, mau lihat agenda perusahaan aja dibilang engga bisa dengan alasan registrasi gagal lah, verifikasi tidak berhasil lah.;Negatif
5;Tingkatkan kualitas;Positif
5;Good app!;Positif
5;Mantab gan aplikasinya;Positif
5;ajaib banget. investasi saham yg simpel;Positif
1;Gila emang pelayanan Ajaib ini nunggu dana masuk ke RDN harus 7 hari .. menyesal join via ajaib.. tidak recommended;Negatif
1;Mau narik ko ga bisa gimana ya;Negatif
5;Sangattt bagus!!;Positif
5;Semoga kedepanya fitur makin memudahkan pengguna;Positif
5;bagus;Positif
1;Jelek, proses pencairan lambat dan bertele-tele. Percuma hubungi cs nya progres sangat lambat.👎👎👎;Negatif
1;Ini gimana sih buying power saya dari 60jt trus jadi mines 38jt kemaren saya cek jadi sisa 20jt trus sekarang mines lagi 38jt bercandakah kalo bercanda kagak lucu sumpah saya mau transaksi jadi ga bisa;Negatif
5;Semoga fitur di ajaib makin lama makin diperbaiki 👍👍;Positif
5;Aplikasi Cerdas untuk Investasi;Positif
5;Aplikasi Ini Sungguh Bagus Untuk Tarik Tunai;Positif
5;Sangat bagus sekali aplikasi ya bisa membantu aku;Positif
5;Memudahkan kita untuk investasi;Positif
5;Cara mudah invetasi saham dan menamabah pndaptan;Positif
1;Saya member premium. Tgl 8 saya order emiten SEMA 500 lot. Dan yg brhasil kebeli malah 2514 lot dan saldo emang bnr2 trpotong untuk 2514 lot. Tak hubungi CS ktanya jual aja dan sisain sesui orderan. Dan akhirnya tak turuti apa kta CS. Selain itu saldo tiba2 juga jd berkurang bayak. Dan pas mlm tak cek saham SEMAnya masih ada. D pagi hari saya order lgi saham SEMA 500 lot. Keterangannya sdh berhasil. Tp tak cek d porto saham SEMA saya yg kemarin dan yg hari ini ga ada. Hampir 30 jtaan yg hilang;Negatif
5;appny bagus;Positif
5;Appnya bagus;Positif
1;Sudah lama daftar di aplikasi Ajaib, tapi belum di approved, tidak ada balasan apa kendalanya.;Negatif
1;Penipu bangsat;Negatif
5;Sejauh ini sangat diappresiasi;Positif
1;Verifikasi lebih dari 4-5 hari dan sampai sekarang tidak di proses aplikasi gak jelas. Auto uninstall;Negatif
5;untuk saat ini saya kasih bintang 5,untuk proses kedepannya akan saya beri ulasan lagi🙏;Positif
1;"Asli sih parah bgt, saham udah match sore hari. Pagi nya tiba"" di porto gak ada, dan uang nya entah kemana. Hubungi cs juga respon nya iuhhh";Negatif
1;Apk gajelas bonus nya aja ga masuk2 apk php udah undang 9 org tp bonus ngga masuk2;Negatif
1;Banyak komen negatif gak jadi invest deh;Negatif
5;Iya;Positif
5;Sangt membantu saya dalam belajar saham thanks ajaib;Positif
1;Salah satu investasi sekuritas yg buruk da suka membadut Jangan download;Negatif
1;Mau ngambil uang harus nunggu dan udah terkonfirmasi tpi belum masuk ke ATM. Kembalikan uangku oiii;Negatif
5;Bagus aplikasi nya. rekomendasi dr closefriend ehehe:));Positif
5;Good;Positif
5;Aplikasi yang sangat berguna;Positif
5;Aplikasi ini baguss babget sangat membantuu;Positif
5;Baguss, baru instal tapi rekomen bgtt;Positif
5;Bagus;Positif
5;tau ini dr temen, ga nyangka ternyata mantep bgt lah;Positif
5;Aplikasinya mantap bagus banget👍;Positif
5;Orang orang yang kasih bintang 1 PDA kenapa ya,gua make dri awal sampe sekarang gk ada kendala tuh baik baik aja,penarikan,pembelian,penjualan cepet (asal dijam kerja ajaib sampe pukul 13:00);Positif
5;mantap!;Positif
5;Keren bgt apknya,rekomen bgt;Positif
2;aplikasi sering lag;Negatif
5;Fast respon banget customer service nya,,, top banget ajaib;Positif
1;Bagus , tapi server sangat perlu diperbaiki dan di upgrade , top up rdn gak langsung masuk , tarik juga lama , order saham sering error;Negatif
1;Narik uangnya susahhhhhhh... Ribet. Mending IPOT;Negatif
5;Bagussss;Positif
5;Manteb;Positif
5;Mantap jiwa;Positif
1;Bintang 1, saya masih belum bisa ubah rekening saya, dan pelayanan yang sangat lama;Negatif
5;Bagus,selalu lancar berinvestasi,tidak ribetdan mudah dipahami;Positif
5;Br coba..belajar dulu;Positif
1;Apk ga jelas.SUDAH JUAL SAHAM BERHARI² GA BISA JUGA..APK GAUSAH DEHH NGADAIN EVENT KALO BAYARNYA AJA GA JELAS !!!! SUDAH CHAT DI IG FB GMAIL TETAP GA ADA BALASAN,SAKITNYA LAGI CUMAN BACA !!!;Negatif
1;Eek;Negatif
1;"Saya sudah mencoba berkali kali untuk menarik saldo saya, saya coba tarik di waktu jam kerja, saya periksa kembali data perbankan. Saya cek ini itu tetap saja ""account invalid, register bank to CS"". Mohon kepada pihak ajaib agar memperbaiki masalah disini, saya tidak tahu dimana kesalahannya. Terimakasih 🙏";Negatif
SPd;09/02/2022 04.59;#N/A
1;BERADA DILUAR JAM KERJA BURSA Emang jam kerjanya kayak gimana kok sering banget gitu, lambat pula prosesnya Menyedihkaan;Negatif
5;Tambahin aset lagi pasti menarik;Positif
5;sangat baik untuk investasi;Positif
5;Mantap dan keren;Positif
5;Keren banget aplikaisnya;Positif
1;Ikut event ajak 3teman dapat 100rb RDN dan lot 3gratis ... Preettt .....udah semua persyaratan di ikuti bukti screen shoot ada masih aja ngeles nih admin nya .... Udah 1minggu gak ada tuh bonus nya mana .. Kasih penjelasan apa yang kurang darii event ajak temen 3 orang;Negatif
1;Berapa lama waktu narik dana dari jual saham;Negatif
5;Aplikasi ini bagus;Positif
1;RDN gw kok nggak balik? Terus itu apaan minusnya banyak banget? Padahalncuman beli 3 emiten;Negatif
1;Parah bgt ni aplikasi. Masa gue beli belasan lot saham yg nongol cuma 3 lot;Negatif
5;Nice;Positif
5;Recomended banget buat pemula👍;Positif
5;Aplikasi easy use....mantap;Positif
5;Okee bagus aplikasi nya;Positif
5;Mantapp👍🏻👍🏻;Positif
5;aplikasi ini sangat bagus dan menarik, sangat membantu bagi para pemula yang ingin memulai investasii recommended pokonyaaa;Positif
5;Mntebbbb;Positif
5;aplikasi ini bagus banget, recommended buat yang mau investasi saham dll;Positif
5;Gas keun fiturnya tingkatkan;Positif
1;Ajaib lemmot, cuma mau untung sendiri., gk mikirin penggunanya,, Gk cocok buat trader garai boncos... Sudah di cancel malah ke match,, mau jual malah sending, keburu harga turun... Tolonglah diperbaiki, jangan maunya cuannya doang tp APK gk ada kemajuan;Negatif
5;Keren banget 👍🏻👍🏻👍🏻;Positif
5;mantap;Positif
5;Paling Toooopppp 👍👍👍;Positif
5;Baguss banget;Positif
1;Halah ga verify, udah 6 hari padahal;Negatif
1;Program nggak bener .... Ngisi awal aja susahnya setengah mati....uninstall aja;Negatif
5;Keren;Positif
1;Mau narik uangnya lama kali prosesnya.;Negatif
5;👍👍👍;Positif
5;Apk ini sangat mantap, dan membantu pastinya terima kasih👍🏻👍🏻;Positif
5;Top bgt, bagus buat pemula;Positif
5;Mantap Betull🎉;Positif
5;mantap banget;Positif
5;Prospekk;Positif
5;good app for investing;Positif
5;Mudah dan bermanfaat;Positif
5;Bagus banget aplikasinyaa... MANTAP DEHH POKONYAA;Positif
1;Saya sudah punya akun dan juga ada saldo serta sahamnya, tp pas mau saya buka lagi kenapa gk bisa login;Negatif
5;Woww aplikasi ini sangat keren dan mudah digunakan.. Serta sangat cocok dipakai di jaman millenial saat ini🤩🤗;Positif
1;Lama proses pembuatan akun nya...udah sebulan lebih masih dalam proses terus. Kapan saya trading sahamnya.;Negatif
5;Ok;Positif
1;Bagus, tapi lelet benerrrr;Negatif
5;Iya;Positif
5;Yoi;Positif
5;Good;Positif
5;Bagus 🙏🙏 download sekarang;Positif
5;Mantap;Positif
5;trade;Positif
5;aplikasinya mantab sekali;Positif
1;"Sumpah kesel banget sama aplikasi ini. Pembukaan sering delay. Tulisannya ""sending"". Hari ini dibuat tambah kesel lagi. Beli BSML 10 Lot dan udah matched di harga 720. Begitu ngecek di portofolio kok malah kecatat 4 dengan harga 832.5 padahal all time highnya si BSML tanggal 8 Feb 2022 hanya 720 dan belum pernah nyampe 832.5. Beli IPTV juga sama matched 50 lot di harga 168. Malah kecatatnya 41 lot dengah harga 171.66. Niatnya untung malah buntung di aplikasi ini. Unicorn yang bermasalah.....";Negatif
5;Top;Positif
5;keren aplikasi nya;Positif
5;penggunaannya mudah, bikin yang udah cerdas makin cerdas 👍;Positif
1;Scam ahh;Negatif
5;Ajaib mantap sangat bermanfaat;Positif
5;Bagus sih sesuai deskripsi karena menyediakan layanan bisa berinvestasi saham dan reksa. Tanpa bertemu dengan agen, tanpa proses verifikasi panjang. semoga selalu diperhatikan terkait warranty atau kenyamanan user ketika menggunakan aplikasi;Positif
1;Disuruh voting katanya;Negatif
5;Aplikasi yg sangat bermanfaat;Positif
5;Oo;Positif
5;aplikasi yg menarik untuk belajar invest;Positif
5;Recomend banget;Positif
1;disuruh baihaqi absen;Negatif
5;Mantap poll;Positif
5;Bagusss;Positif
